述語論理への最適な翻訳を選べ。デービッドはクリスに教える。(c: クリス、d: デービッド、Txy: xがyを教える),Tdc,Tcd,Tcc,dTc,A
次の翻訳キーを使用して、与えられた命題の最適な英語の解釈を選択せよ。Ax: xはアパート、Hx: xは家、Lx: xは大きい、Bxy: xはyより大きい (∃x)[(Ax • Lx) • (∃y)(Hy • Bxy)],大きな家の中には、アパートよりも大きいものもある。,すべての大きなアパートより大きな家もある。,大きなアパートの中には、家よりも大きいものもある。,家には、大きなアパートよりも大きいものもある。,C
"次の引数について完全な真理値表を作成せよ。次に、真理値表を用いて、その引数が有効か無効かを判断せよ。引数が無効な場合は、反例を示す選択肢を選べ。(他にも反例がある可能性がある。）
~G⊃H
~H/G",有効,無効。GとHが真の場合の反例,無効。Gが真でHが偽の場合の反例,無効。Hが真でGが偽の場合の反例,A
"次のキーを使って、与えられたPLの公式を自然な英文に翻訳せよ。
A: マリナはパーシー・ジャクソンの本を読む。
B: イジーはマインクラフトをする。
C: エミリーは仕事をやめる。
D:ラッセルは夕食を作る。
E: アシュリーが立ち寄る。
(~B • E) ⊃ D",イジーがマインクラフトをすることもアシュリーが立ち寄ることもない場合、ラッセルが夕食を作る。,もしイジーがマインクラフトをし、アシュリーが立ち寄るという両方の事実がなければ、ラッセルは夕食を作る。,イジーがマインクラフトをしていて、アシュリーが立ち寄った場合、ラッセルが夕食を作ることになる。,ラッセルが夕食を作ることは、イジーがマインクラフトをせず、アシュリーが立ち寄ることの十分条件である。,B
与えられた命題の英文解釈として最も適切なものを、以下の翻訳キーを使用して選択せよ。Ax: xはアパート、Hx: xは家、Lx: xは大きい、Bxy: xはyより大きい (∃x)[Hx • (∀y)(Ay ⊃ Bxy)],すべてのアパートより小さい家もある。,どの家もどのアパートより大きい。,すべての家より小さいアパートもある。,いくつかの家はすべてのアパートより大きい。,D
"次の引数について完全な真理値表を作れ。次に、真理値表を用いて、その引数が有効か無効かを判定せよ。引数が無効な場合は、反例を示す選択肢を選べ。（他にも反例のある可能性がある。）
~(K ≡ L / (K · L) ∨ (K · ~L)",有効,無効。KとLが真の場合の反例,無効。Kが真でLが偽の場合の反例,無効。Lが真でKが偽の場合の反例,D
次の条件付き命題の前件部を識別せよ。大学が財政援助を増やさない場合、学長がそれを承認しないか、理事会がそれを阻止するかのいずれかである。,大学が財政援助を増やす。,大学が財政援助を増額しない。,理事会がそれを阻止する。,学長が承認しない。,B
"次の命題のうち、与えられた前提のPLにおける直接の（一段階の）結果はどれか?
~E ⊃ ~F
G ⊃ F
H ∨ ~E
H ⊃ I
~I",E ⊃ F,F ⊃ G,H ⊃ ~E,~H,D
"次の文の最も良い記号化は、与えられたPLの式のどれか?
誰もがレイモンドを愛しているかどうか。",L,~L,L • ~L,L ∨ ~L,D
述語論理への最適な翻訳を選べ。すべての王はすべての貧民より幸運である。(Kx: xは王、Px: xは貧民、Lxy: xはyより幸運）,(∀x)[Kx ⊃ (∀y)(Py ⊃ Lxy)],(∀x)[Kx ⊃ (∀y)(Lxy ⊃ Py)],(∀x)(∀y)[(Kx • Py) ⊃ Lyx],(∀x)[(Kx • (∀y)(Py)) ⊃ Lxy],A
"次の命題の組について、完全な真理値表を作成せよ。次に、真理値表を使って、その文が論理的に等価か矛盾かを判断せよ。どちらにも当てはまらない場合、それらが一貫しているか矛盾しているかを判断せよ。答えを正当化せよ。
(~M ⊃ ~N) ∨ (O ≡ N) and (~M · N) · [(~O ∨ ~N) · (O ∨ N)]",論理的に等価,矛盾,論理的に等価でも矛盾でもないが、一貫性がある,矛盾する,B
"次の命題のうち、与えられた前提のPLにおける直接の（一段階の）結果はどれか?   
E ⊃ ~F
~F ⊃ G
~G",E ⊃ F,F ⊃ G,G ⊃ E,~~F,D
"間接真理値表を使って、以下の引数が有効かどうかを判断せよ。引数が無効な場合は、反例を示す選択肢を選べ。（他にも反例がある可能性がある。）
E ⊃ (F ∨ ~G) 
F ⊃ (~E ∨ ~G) / ~(E ≡ F)",有効,無効。 E、F、Gが真の場合の反例,無効。EとFが真でGが偽の場合の反例,無効。 E、F、Gが偽の場合の反例,C
"間接真理値表を使って、以下の引数が有効かどうかを判断せよ。引数が無効である場合、反例を示す選択肢を選べ。（他にも反例がある可能性がある。）
(H ≡ (~I ∨ J) 
H ∨ ~J / ~I",有効,無効。H、I、Jが偽の場合の反例,無効。HとIが真でJが偽の場合の反例,無効。Iが真でHとJが偽の場合の反例,D
述語論理への最適な変換を選べ。消防士の中には、被害者を危険から救う人もいる。(Dx: xは危険、Fx: xは消防士、Vx: xは犠牲者、Rxyz: xはyをzから救出する),(∃x){Fx • (∀y)[Dy ⊃ (∃z)(Vz • Rxyz)]},(∃x){Fx • (∃y)[Vy • (∃z)(Dz • Rxyz)]},(∃x){Fx • (∃y)(∃z)[(Vy • Dz) • Rxzy]},(∀x){Fx ⊃ (∃y)[Vy . (∃z)(Dz • Rxyz)]},B
次の条件付き命題の前件部を識別せよ。ただし、大学は、知事が承認し、理事会が推奨した場合に限り、授業料を引き上げる。,大学が授業料を値上げする。,知事がそれを承認する。,理事会が推奨する。,上記のいずれでもない。,D
述語論理への最適な変換を選択せよ。すべての惑星は木星より小さい。(j: 木星、Px: xは惑星、Sxy: xはyより小さい),(∃x)(Px • Sxj),(∀x)(Px • Sxj),(∀x)(Px ⊃ Sjx),(∀x)(Px ⊃ Sxj),D
述語論理への最適な変換を選択せよ。ホセはウィルマをケビンに紹介する。(j: ホセ、k: ケビン、w: ウィルマ、Ixyz: xがyをzに紹介する),Iwkj,Ijwk,Iwjk,Ijkw,B
述語論理への最適な変換を選択せよ。人工物は人間ではない。,~Pa,(∀x)(Ax ⊃ ~Px),~Ap,(∀x)(Ax • ~Px),B
"次の引数について完全な真理値表を作れ。次に、真理値表を用いて、その引数が有効か無効かを判断せよ。引数が無効な場合は、反例を示す選択肢を選べ。（他にも反例がある可能性はある）
P ⊃ Q
Q · R / ~P · R",有効,無効。P、R、Qが真のときの反例,無効。PとQが真でRが偽の場合の反例,無効。RとQが真でPが偽の場合の反例,B
述語論理への最適な変換を選択せよ。マルコはイタリアからスペインに移動する。(i: イタリア、m: マルコ、s: スペイン、Mxyz: xがzからyに移動する）,Msim,Mmis,Mims,Mmsi,D
与えられた命題の英文解釈として最も適切なものを、次の翻訳キーを使用して選択せよ。Ax: xはアパート、Hx: xは家、Lx: xは大きい、Bxy: xはyより大きい (∀x){Ax ⊃ (∀y)[(Hy • Ly) ⊃ ∼Bxy]},どのアパートも、大きな家ほど大きくはない。,どのアパートもどの大きな家より大きくない。,大きな家はどれも、どこかのアパートより大きくはない。,すべてのアパートより大きい家はない。,B
"次の引数について完全な真理値表を作成せよ。次に、真理値表を用いて、その引数が有効か無効かを判定せよ。引数が無効な場合は、反例を示す選択肢を選べ。（他にも反例がある可能性もある。）
(J ≡ ~K
J ∨ L 
~K / L",有効,無効。JとKが真でLが偽の場合の反例,無効。Jが真でKとLが偽の場合の反例,無効。Kが真でJとLが偽の場合の反例,C
"与えられたPLの式のうち、次の文の記号化として最も適切なものはどれか?
パブロが買い物に行くのは、兄が運転し、ガソリン代を払う場合だけである。",(P ≡ D) ≡ G,(D • G) ⊃ P,P ⊃ (D • G),P ≡ (D • G),D
"間接真理値表を使用して、各命題のセットが一貫しているかどうかを判断せよ。セットが一貫している場合は、一貫した評価を持つオプションを選択する。(他にも一貫した評価がある場合がある。)
D≡E
F∨ D
~E·~F",一貫性がない,一貫性。D、E、およびFが真の場合の一貫した評価,一貫性。DとEが真でFが偽の場合の一貫した評価,一貫性。DとFが真でEが偽の場合の一貫した評価,A
"次の文の記号化として最も適切なのは与えられたPL式のうちどれか?
このレストランではデザートにパイかチーズケーキかアイスクリームを出す。",P ∨ (C ∨ I),(P ∨ C) ∨ I,P ∨ C ∨ I,選択肢AとB,D
"次の文の記号化として最も適切なのは、与えられたPLの公式のうちどれか?
ベスが自転車に乗ると、仕事場に早く着く。",B ⊃ W,W ⊃ B,B ≡ W,AとBの両方,A
述語論理への最適な変換を選択せよ。テイラーかエリックのどちらかラテボーイである。,Lt ∨ Le,Lx ∨ Ly,tL ∨ eL,Tl ⊃ El,A
"間接真理値表を使って、以下の引数が有効かどうかを判断せよ。引数が無効である場合、反例を示す選択肢を選べ。（他にも反例がある可能性もある。）
E ⊃ F
G ⊃ ~F / ~G ∨ ~E",有効,無効。 E、F、Gが真の場合の反例,無効。EとGが真でFが偽の場合の反例,無効。FとGが真でEが偽の場合の反例,A
"間接真理値表を使用して、各命題のセットが一貫しているかどうかを判断せよ。セットが一貫している場合は、一貫した評価を持つオプションを選択する。(他に一貫した評価がある場合もある。)
A ⊃ (~B ∨ C)
C ⊃ D
A ∨ (B · ~D)
A ≡ (B ⊃ D)",一貫性がない,一貫性。AとDが真で、BとCが偽の場合の一貫した評価,一貫性。A、B、およびDが真でCが偽の場合の一貫した評価,一貫性。CとDが真で、AとBが偽の場合の一貫した評価,B
"次の引数について完全な真理値表を作成せよ。次に、真理値表を用いて、その引数が有効か無効かを判定せよ。引数が無効な場合は、反例を示す選択肢を選べ。（他の反例がある可能性もある。）
(M ∨ N 
~M · O / N",有効,無効。MとOが真でNが偽の場合の反例,無効。Mが真でOとNが偽の場合の反例,無効。Oが真でMとNが偽の場合の反例,A
"次の命題のうち、与えられた前提のPLにおける直接の（一段階の）結果はどれか?
U ⊃ W
W ⊃ (X ≡ ~Y)
(X ≡ ~Y) ⊃ Z
~Z",U ⊃ Z,U ∨ W,~W,~(X ≡ ~Y),D
次の条件命題の前件部を識別せよ。ただし、もしハチが初戦に勝たなければ、ツチブタもシマリスも初戦に勝つ。,ツチブタが初戦に勝つ。,ハチが初戦に勝てない。,シマリスが初戦に勝つ。,ツチノコもシマリスも初戦に勝つ。,B
述語論理への最適な変換を選択せよ。ホリーはフランシスを愛している。(f: フランシス、h: ホリー、Lxy: xはyを愛している),hLf,fLh,Lfh,Lhf,D
"間接真理値表を使って、以下の引数が有効かどうかを判断せよ。引数が無効な場合は、反例を示す選択肢を選べ。（他にも反例がある可能性がある。）
P ⊃ (Q ∨ R)
(Q · S) ⊃ ~P 
~(~Q ∨ R) / ~P",有効,無効。 P、Q、R、Sが真の場合の反例,無効。PとQが真でRとSが偽の場合の反例,"無効。P,R,Sが真でQが偽の場合の反例",C
"次の引数について完全な真理値表を作れ。次に、真理値表を用いて、その引数が有効か無効かを判断せよ。引数が無効な場合は、反例を示す選択肢を選べ。（他にも反例がある可能性がある。）
T ∨ U
W · T / U",有効,無効。TとWが真でUが偽の場合の反例,無効。Tが真でWとUが偽の場合の反例,無効。Wが真でTとUが偽の場合の反例,B
