完全に水没したオブジェクトは、常にそのオブジェクト自体の何を変位させるか?,流体の重さ,流体の体積,流体の密度,上記のすべて,B
ダイバーが懐中電灯を水面に向けて垂直から20°の角度で上向きに向けると、光のビームはどうなるか?,完全に内部反射する,上空の空中に通過する,吸収される,そのいずれでもない,B
四次元幾何学によれば、三角形の角が180°になるのは次のうちいずれの場合か?,常に。,時々。,決してない。,地球上だけ。,B
ワイヤ・ループに電圧が誘起されるのは、ループ内の磁場がどのような場合か?,変化する,電場と一直線になる,電場と直角になる,磁気エネルギーに変換される,A
これらの色のうち、光子1個あたりのエネルギーが最も大きい色は?,赤,黄緑,青,紫,D
一般相対性理論に関して、正しい記述を選べ。,質量は時空を歪める。,重力は時計に影響を与える。,光はブラックホールから脱出できない。,上記のすべて,D
電気回路の昇圧トランスは?,電圧,エネルギー,上記の両方,上記のどちらでもない,A
元素のスペクトル線は?,混沌としている,並んでいる,振幅によって配置されている,位相が一致している,B
波が伝達するのはどれか?,振幅,波長,周波数,エネルギー,D
2個の分離した荷電粒子が静止状態から解放された直後に、両方の加速度が増加する。したがって、粒子の電荷の符号は?,同じ,反対,どちらか,もっと情報が必要,B
地球の表面が、宇宙空間にエネルギーを失う主な理由は次のうちどれか?,伝導,対流,放射,放射能,C
直列回路において、1つのランプに流れる電流が2 Aである場合、その隣のランプに流れる電流は?,半分の1 A,2 A,どちらのランプがバッテリーに近いかによる,十分な情報がなくどちらとも言えない,B
こちらに近づいてくる点滅光源が速度を増すにつれて、点滅の頻度はどのようになるか?,増加する。,減少する。,変化しない。,上記のどれでもない。,A
空気抵抗がない場合、質量mのボールは上方に投げられて20 mの高さに達する。10 mの位置での、ボールにかかる正味の力は次のうちどれか?,2 mg,mg,mg/2,mg/4,B
軽石は水に浮く火山岩である。軽石の密度について、水の密度と比較してどうか?,小さい。,等しい。,大きい。,沈むため、ゼロ。,A
