短編小説を書く単元の準備として、ある教師が生徒に短編小説の例をいくつか示し、そのジャンルの定義的な特徴を生徒と一緒に考える。この指導法を説明するのに最も適切なものは次のうちどれか?,コンファレンシング,分野に基づく探究,自己調整型戦略開発,導入-本文-結論戦略,B
紙は華氏でおよそ何度で燃えるか?,986度,2125度,3985度,451度,D
アップルのiMacコンピュータには、次のうちどれを除くすべての色があるか?,タンジェリン,ストロベリー,キウイ,グレープ,C
アメリカ初期の探検隊ルイス・クラークのファーストネームは?,モーガンとメイソン,メリウェザーとウィリアム,カボットとジョセフ,メレディスとジョージ,B
教師は、初級読者の少人数の柔軟なグループをサポートする。生徒が慣れない文章や本を読むとき、教師は生徒と一緒になって様々な読み方を教える。次の読書法のうち、説明されているのはどれか?,直接指導,文学サークル,ガイドリーディング,音読,C
水痘とは何か?,高級パスタ,オペラの一種,水疱瘡ウイルス,古代ローマの詩,C
次の材料のうち、温度変化の影響を最も受けにくい抵抗値を持つものはどれか?,銅,カーボン,ゲルマニウム,シリコン,A
大学2年生は通常何と呼ばれる?,2年生,4年生,1年生,3年生,A
映画『The Talented Mr Ripley』（邦題『リプリー』）でリプリー氏を演じたのは?,ジュード・ロウ,マット・デイモン,ダスティン・ホフマン,ベン・アフレック,B
ハードエッジ絵画を特徴づける可能性が最も高いのは次のうちどれか?,均一でしっかりとした絵の具の塗り方,絵の表面に混ざったぼやけた色,明確に分離された筆跡,半透明の何層にも重なった絵の具,A
ビル・クリントンが生まれた時、アメリカの大統領だったのは誰か?,ハーバート・フーバー,ハリー・S・トルーマン,フランクリン・ルーズベルト,ドワイト・アイゼンハワー,B
次のリストのうち、鉱物のみを含むものはどれか?,花崗岩、斑れい岩、閃緑岩、石英、長石,金、石英、トパーズ、ダイヤモンド、コランダム,片麻岩、片岩、フィライト、緑泥石、雲母,石炭、チャート、石灰岩、ドロマイト、ハライト,B
次のうち、遺伝子組換え植物の開発と利用の結果として考えられるものはどれか?,植物種子のコストが削減される,新しい植物品種が特許を取得する,植えられた圃場内の遺伝的多様性が増加する,遺伝子組換えでない作物に比べて、監視や規制が緩和される,B
教師が「かいじゅうたちのいるところ」を朗読する。この絵本は、少年マックスが野生の怪物たちに出会う様子を生き生きと描いたものである。教師は次に、物語の冒頭、中盤、終盤の場面を描いた絵カードを生徒に見せる。教師が生徒に理解させている文学的構造の概念は次のうちどれか?,筋書きの順序,視点,登場人物の展開,設定,A
"""You talkin' to me? ""というフレーズを広めた映画は?",ゴーストバスターズ,タクシードライバー,ジョーカー,グラウンドホッグ・デイ,B
農業機械の油圧システムに水が混入していることを示す可能性が最も高いのは次のうちどれか?,灰色がかった乳白色の作動油,作動油の過剰使用,作動油の過度の薄まり,リリーフバルブの異音,A
中国の暦で2000年を表す動物は?,ドラゴン,ウサギ,トラ,サル,A
農業用コンバインの部品は次のうちどれか?,ビーター,コンディショナー,シードプレート,ファローオープナー,A
伝説によると、レプラコーンに会える可能性が最も高い国は?,アイルランド,ポーランド,グリーンランド,スコットランド,A
水循環の中で、水分子がエネルギーを吸収する過程は次のうちどれか?,水からの氷の形成,水蒸気からの雲の形成,地表からの雨水,海面からの蒸発,D
毎年春に有名な国際映画祭が開催されるフランスの都市は?,カンヌ,マルセイユ,ディジョン,リヨン,A
ボウリングで3連続ストライクを何という?,ヤッツィー,マリガン,ターキー,エース,C
テレビ番組「マイ・スリー・サンズ」に登場する少年たちのうち、養子は?,マイク,アーニー,チップ,ロビー,B
最も多くの続編を生み出したホラー映画はこの中のどれか?,スクリーム,ジョーズ,ハロウィン,13日の金曜日,D
コメディアンのフリップ・ウィルソンが1970年代のテレビ番組で演じた女性キャラクターの名前は?,ミス・ジャッキー,エリザベス・サンフォード,ジェラルディン・ジョーンズ,グラディス・ナイト,C
ペレグリンはどんな動物か?,ヘラジカ,ネコ,鳥,魚,C
消化器病専門医は人体のどの部位を診察するのか?,脳,骨格,胃,鼻,C
太陽光の下では青く見える紙に、緑色のフィルターを通した赤色の光だけを当てる。この照明の下で、紙は何色に見えるか?,青,緑,赤,黒,D
肉は華氏何度で冷凍保存すべきか?,0度以下,10度から20度の間,20度から30度の間,32度弱,A
アニメのキャラクター、テネシー・タキシードはどんな動物?,猫,スカンク,セイウチ,ペンギン,D
TV番組「オール・イン・ザ・ファミリー」のオープニングテーマ曲で名前が出てくるアメリカ大統領は?,カルビン・クーリッジ,ハリー・トルーマン,ハーバート・フーバー,リチャード・ニクソン,C
確認された中で最も重い希ガスは何か?,キセノン,アルゴン,ラドン,クリプトン,C
2MのHCl溶液3リットルを作るには、十分な水に何モルのHClを加えなければならないか?,1モル,2モル,3モル,6モル,D
1831年にヴァージニア州サウサンプトンで起きた奴隷反乱を指揮したのは誰か?,ジョン・ブラウン,ドレッド・スコット,ナット・ターナー,ハリエット・タブマン,C
千枚通しはどんな目的で使うか?,アヒルを撃つ,床を磨く,穴を開ける,果物の重さを量る,C
手首にある骨はこの中のどれか?,膝蓋骨,上腕骨,手根骨,尾骨,C
若い牛を何と呼ぶか?,雌牛,子羊,子ヤギ,子牛,D
