"S_5 において p = (1, 2, 5, 4)(2, 3) とする。S_5における<p>の指数を求めよ。",8,2,24,120,C
与えられた多項式の指定された有限体のすべてのゼロを、その体の係数とともに求めよ。 Z_5のx^5+3x^3+x^2+2x,0,1,"0,1","0,4",D
文1 | 非アーベル群の因子群は非アーベル。文2 | KがHの正規部分群であり、HがGの正規部分群である場合、KはGの正規部分群。,"真, 真","偽, 偽","真, 偽","偽, 真",B
与えられた多項式環における与えられた多項式の積を求めよ。 Z_8[x]では、f(x)=4x-5、g(x)=2x^2-4x+2。,2x^2 + 5,6x^2 + 4x + 6,0,x^2 + 1,B
文1 | もしある群が次数15の要素を持つなら、それは次数15の要素を少なくとも8個持たなければならない。文2 | もしある群が次数15の要素を8個以上持つなら、それは次数15の要素を少なくとも16個持たなければならない。,"真, 真","偽, 偽","真, 偽","偽, 真",A
文1 | 群Gのすべての準同型画像は、Gの因子群と同形。文2 | 群Gの準同型画像は、Gの因子群と(同形まで)同じ。,"真, 真","偽, 偽","真, 偽","偽, 真",A
文1 | 環準同型は、カーネルが{0}である場合に限り、1対1。文2 | QはRのイデアル。,"真, 真","偽, 偽","真, 偽","偽, 真",D
与えられた体の拡大Q(sqrt(2)+sqrt(3))のQに対する次数を求めよ。,0,4,2,6,B
与えられた多項式の指定された有限体のすべてのゼロを、その体の係数とともに求めよ。 Z_7のx^3+2x+2,1,2,"2,3",6,C
文1 | HがGの部分群であり、aがGに属するならば、|aH| = |Ha|。文2 | HがGの部分群であり、aおよびbがGに属するならば、aHおよびHbは同一または互いに素。,"真, 真","偽, 偽","真, 偽","偽, 真",C
"A = {1, 2, 3}とすると、関係S = {(1, 1), (2, 2)}は?",対称関係のみ,反対称関係のみ,対称関係と反対称関係の両方,同値関係,C
"因子群(Z_11 x Z_15)/(<1, 1>) の次数を求めよ。",1,2,5,11,A
多項式x^3 + 2x^2 + 2x + 1はZ_7[x]の線形因数に因数分解できる。この因数分解を求めよ。,(x - 2)(x + 2)(x - 1),(x + 1)(x + 4)(x - 2),(x + 1)(x - 4)(x - 2),(x - 1)(x - 4)(x - 2),C
 n = 10 のとき、S_n の要素の可能な最大次数を求めよ。,6,12,30,105,C
文1 | RはQ上のある多項式の分解体。 文2 | 60個の要素を持つ体がある。,"真, 真","偽, 偽","真, 偽","偽, 真",B
"乗法群{1, -1, i , -i}における-iの逆数は?",1,-1,i,-i,C
"与えられた環における積を計算せよ。Z_5 x Z_9の(2,3)(3,5)","(1,1)","(3,1)","(1,6)","(3,6)",C
通常の乗算演算の下でのすべての実数の集合は、次のどの理由から群ではないか?,乗算は2項演算ではない,乗算は連想演算ではない,単位元は存在しない,ゼロは逆数を持たない,D
文1 | pが素数である次数p^2の群はすべてアーベル。文2 | 固定素数pのとき、群Gのシローp部分群は、それがGの唯一のシローp部分群である場合に限り、Gの正規部分群。,"真, 真","偽, 偽","真, 偽","偽, 真",A
文1 | 有限群GとHに対して、|G＋H| = |G||H|。(G+Hは内部直積。) 文2 | rがmを除算し、sがnを除算する場合、Z_m + Z_nはZ_r + Z_sと同型の部分群を持つ。,"真, 真","偽, 偽","真, 偽","偽, 真",A
与えられた多項式環における与えられた多項式の和を求めよ。 Z_8[x]では、f(x)=4x-5、g(x)=2x^2-4x+2。,2x^2 + 5,6x^2 + 4x + 6,0,x^2 + 1,A
"文1 | R^2における2つのベクトルの集合はすべて線形独立。文2 | V = span(v1, ... , vk)で{v1, ... , vk}が線形独立であれば、dim(V) = k。","真, 真","偽, 偽","真, 偽","偽, 真",D
複素数の乗算の下での1のすべてのn乗根の集合が形成するのは?,恒等式を持つ半群,恒等式を持つ可換半群,群,アーベル群,D
文1 | すべての最大イデアルは素イデアル。文2 | もしIが可換環Rの最大イデアルなら、R/Iは体。,"真, 真","偽, 偽","真, 偽","偽, 真",B
有理数をエントリとするすべてのn×nの正則行列の集合をGとする。このとき、乗算のもとでGは?,部分群,有限アーベル群,無限非アーベル群,無限アーベル群,C
文1 | 次数42のすべての群は次数7の正規部分群を持っている。文2 | 次数42のすべての群は次数8の正規部分群を持っている。,"真, 真","偽, 偽","真, 偽","偽, 真",C
Z[x]の多項式がQ. 8x^3+6x^2-9x+24上の既約性に対するアイゼンシュタインの既約判定法を満たすかどうかを決定せよ。,はい、p=2。,はい、p=3。,はい、p=5。,いいえ。,B
文1 | ある準同型写像のもとでの6要素の群の像は12要素を持つことがある。文2 | ある6要素の群からある12要素の群への準同型写像がある。,"真, 真","偽, 偽","真, 偽","偽, 真",D
文1 | 巡回群の準同型像は巡回群。文2 | アーベル群の準同型像はアーベル。,"真, 真","偽, 偽","真, 偽","偽, 真",A
文1 | Hが群Gの部分群であり、aがGに属するならば、aH = Ha。文2 | もしHがGの正規群であり、aがGに属するならば、Hのすべてのhに対してah = ha。,"真, 真","偽, 偽","真, 偽","偽, 真",B
"(G, .)が(ab)^-1=a^-1b^-1のような群である場合、G内のすべてのa、bに対して、Gは?",可換半群,アーベル群,非アーベル群,上記以外,B
文1 | 有限次元ベクトル空間では、すべての線形独立なベクトル集合は基底に含まれる。文2 | B_1とB_2が同じベクトル空間の基底である場合、|B_1| = |B_2|。,"真, 真","偽, 偽","真, 偽","偽, 真",A
"ある群(G, 0)はアーベルであることが知られている。このとき、Gについて正しいのはどれか?",G中のすべてのgに対してg = g^-1,G中のすべてのgに対してg = g^2,"G中のすべてのg, hに対して(g o h)^2 = g^2 o h^2",Gは有限位数,C
文1 | T: V→Wが線形変換であり、dim(V) < dim(W) < 1ならば、Tは単射でなければならない。文2 | dim(V) = nとし、T: V -> Vが線形であるとする。もしTが単射なら、それは全単射。,"真, 真","偽, 偽","真, 偽","偽, 真",A
"与えられた体の拡大Q(sqrt(2), sqrt(3))のQに対する次数を求めよ。",0,4,2,6,B
与えられた環における積を計算せよ。Z_26の(20)(-8),0,1,11,22,D
Z[x]の多項式がQ. x^2-12上の既約性に対するアイゼンシュタインの既約判定法を満たすかどうかを決定せよ。,はい、p=2。,はい、p=3。,はい、p=5。,いいえ。,B
有限体Z_7の生成元を求めよ。,1,2,3,4,C
文1 | すべての順列は循環。文2 | すべての循環は順列。,"真, 真","偽, 偽","真, 偽","偽, 真",D
"Zのa, bに対してa*b =a +b+ 1として定義される二項演算 ""*""を持つ整数の集合Zは群である。この群の単位元は?",0,1,-1,12,C
環 Z_3 x 3Z の特性を求めよ。,0,3,12,30,A
文1 | 次数45のあるアーベル群は次数10の部分群を持っている。文2 | ある群Gの部分群Hは、Hの左剰余類の数がHの右剰余類の数と等しい場合に限り、正規部分群。,"真, 真","偽, 偽","真, 偽","偽, 真",B
文1 | 特性0を持つすべての整域は無限。文2 | 素数特性を持つすべての整域は有限。,"真, 真","偽, 偽","真, 偽","偽, 真",C
AとBを集合とし、f: A->Bとg: B->Aを、Aのすべてのa\に対してg(f(a))=aとなるような関数とする。文1 | 関数fは、必ず単射でなければならない。 文2 | 関数fは全射である必要がある。,"真, 真","偽, 偽","真, 偽","偽, 真",C
文1 | 任意の2つの群GとG'に対して、GのG'への準同型写像が存在する。文2 | すべての準同型写像は一対一の写像。,"真, 真","偽, 偽","真, 偽","偽, 真",C
文1 | 準同型写像は空のカーネルを持つことがある。文2 | ある有限群からある無限群への非自明な準同型写像を持つことはできない。,"真, 真","偽, 偽","真, 偽","偽, 真",B
Z_3[x]/(x^3 + x^2 + c)が体であるような、Z_3におけるすべてのcを求めよ。,0,2,1,3,B
文1 | Rが整域であるならば、R[x]は整域。文2 | Rが環で、f(x)とg(x)がR[x]にあるとき、deg (f(x)g(x)) = deg f(x) + deg g(x)。,"真, 真","偽, 偽","真, 偽","偽, 真",C
Z_8 x Z_10 x Z_24のある要素について、可能な最大次数を求めよ。,8,120,240,24,B
文1 | すべての可解群は素数べき位数。文2 | すべての素数べき位数の群は可解。,"真, 真","偽, 偽","真, 偽","偽, 真",D
Z_3[x]/(x^3 + cx^2 + 1)が体であるような、Z_3におけるすべてのcを求めよ。,0,2,1,3,B
10を法とする乗算の下でのグループG={2、4、6、8)では、単位元は次のどのようになるか?,6,8,4,2,A
文1 | G、H、Kが次数4の群である場合、そのうちの少なくとも2つは同型。文2 | Z_r＋Z_sが部分群Z_m＋Z_nに同型である場合、rはmを除算し、sはnを除算する。,"真, 真","偽, 偽","真, 偽","偽, 真",C
Qに対する与えられた体の拡大Q(sqrt(2))の次数を求めよ。,0,2,1,3,B
文1 | すべての自由アーベル群はねじれなし。文2 | すべての有限生成されたねじれなしアーベル群は自由アーベル群。,"真, 真","偽, 偽","真, 偽","偽, 真",A
文1 | 4x-2はZに対して既約。文2 | 4x-2はQに対して既約。,"真, 真","偽, 偽","真, 偽","偽, 真",D
有限体Z_11の生成元を求めよ。,1,2,3,4,B
文1 | 次数159のすべての群は巡回的。文2 | 次数102のすべての群は、非自明な固有の正規部分群を持つ。,"真, 真","偽, 偽","真, 偽","偽, 真",A
文1 | HとKがGの部分群であり、HまたはKの一方がGの正規部分群であれば、HKはGの部分群。 文2 | pが素数である次数p^2の群はすべてアーベル。,"真, 真","偽, 偽","真, 偽","偽, 真",A
文1 | 部分環の単位元は環の単位元と同じでなければならない。文2 | すべての体は整域。,"真, 真","偽, 偽","真, 偽","偽, 真",D
