ある物体の実際の明るさと、あなたがいる位置からの見かけの明るさの両方がわかっている場合、他の情報がなくても推定することができることは次のどれか？, あなたに対するその天体の速度 , その天体の組成 , その天体の大きさ , あなたからのその天体の距離,D
なぜ空は青いのか？, 地球の大気を構成する分子が青っぽい色をしているから。, 空は地球の海の色を反映しているから。, 大気が短波長を優先的に散乱させるから。, 地球の大気は他のすべての色を優先的に吸収するから。,C
あなたは、すべての物体の間には引力があるという科学的理論を立てた。あなたの理論が正しいと証明されるのはいつか？, 初めてボーリングの球を落として、その球が地面に落ちたとき、あなたの仮説が証明される。, 実験を何度も繰り返した後。, あなたは自分の理論が正しいことを証明することはできず、単に『まだ間違っていると証明されていない』と言えるだけ。, あなたや他の多くの人が仮説を検証したとき。,C
次のうち正しいものはどれか？, タイタンは厚い大気を持つ唯一の太陽系外縁衛星。, タイタンは最近の地質活動の証拠を持つ唯一の太陽系外縁衛星。, タイタンの大気の大部分は炭化水素で構成されている。, AとD,D
質量mの彗星が最小衝突速度で地球（質量M 半径R）に衝突する。この衝突で放出される全エネルギーの式は？, m*v , 0.5*m/(R^3) , 0.5*m*(2GM/R) , 0.6*G(M^2)/R,C
火星の水の一部は土壌や氷冠の中で凍結しており、一部は太陽風による剥離で失われたが、元々の水の多くは別のメカニズムで失われたと考えられている。この「失われた」水はどうなったのか？,磁場の強度が急激に低下したときに、磁場によって剥ぎ取られた。	, 紫外線によって水素と酸素に分解され、水素は熱脱出によって失われた。, 喉の渇いた火星人の文明によって消費された , 激しい火山活動によって蒸発し、熱脱出によって宇宙空間に放出された。,B
月の表面にある岩石のほとんどは、地球の表面にある岩石よりも古い。その最も有力な証拠は次のうちどれか？, 月の岩石は、多くの衝突によって粉砕された破片で構成されている。, 月の試料の放射性年代測定は、それらがより古いことを示している。, 月の表面は地球の表面よりも浸食が激しい。, 月表面には地球表面よりも多くの衝突クレーターがある。,B
太陽系で2番目に多い元素は？, 鉄 , 水素 , メタン , ヘリウム,D
流星群の原因となる物質の源は？, 地球近傍の小惑星は、軌道に沿って徐々に崩壊して広がっていく。地球が小惑星の軌道を通過するとき、私たちは流星群の原因となる砂サイズの粒子を浴びる。, 地球近傍の小惑星は、地球の大気圏に突入するときに崩壊し、空の一カ所から放射状に見える何百もの明るい流星を作る。, 彗星の核が地球の大気圏に突入するときに崩壊し、空の中心から放射状に見える何百もの明るい流星を作る。, 彗星の核は徐々に崩壊し、彗星の軌道に沿って広がっていく。地球が彗星の軌道を通過するとき、私たちは流星群の原因となる砂粒大の粒子を浴びる。,D
なぜ彗星のプラズマ（イオン）の尾は常に太陽から離れているのか？, 太陽の光による放射圧がイオンを押しやる。, 尾部の角運動量の保存により、尾部は常に太陽から遠ざかる。, イオンが太陽から遠ざかるケプラー軌道を描いている。, 太陽風が電磁気的にイオンを太陽から直接「吹き飛ばす」。,D
紀元前240年、エラトステネスは地球の大きさをどのように見積もったか？, 日食の時間を観察することによって。, 月食で月にかかる地球の影の大きさを測ることによって。, 同じ日の同じ時刻に、緯度の異なる2つの都市で太陽の最高高度を比較することによって。, 地球の周囲に船団を派遣することによって。,C
大マゼラン雲について正しい記述はどれか？, 天の川銀河の周りを回る矮小銀河, 地球に最も近い惑星状星雲, マゼランによって発見された明るい星団, マゼランにちなんで名付けられた天の川の外側の腕,A
