Python 3において、pythonで文字列をintに変換する関数は次のうちどれか?,"int(x [,base])","long(x [,base] )",float(x),str(x),A
ユーザーがブラウザーにウェブアドレスを入力すると、ファイルへのリクエストがウェブサーバーに送信される。ファイルがどのようにユーザーに送信されるかを最もよく表しているのは次のうちどれか?,ファイルは送信のためにパケットに分割される。パケットは受信時に再度組み立てられなければならない。,ファイルは送信のためにパケットに分割される。ユーザーのブラウザは、すべてのパケットを受信するまで、各パケットを順番に要求しなければならない。,サーバーがユーザーのコンピューターに直接接続を試みる。接続に成功すると、ファイル全体が送信される。接続に失敗した場合は、エラーメッセージがユーザーに送信される。,サーバーは、接続が確立するまでユーザーのコンピューターへの直接接続を繰り返し試みる。接続が成功すると、ファイル全体が送信される。,A
デジタル画像は、画像内の個別の各ピクセルの赤、緑、青の値（RGBトリプレット）で表現されることが多い。ある写真家がデジタル画像を操作し、元の画像を上書きしている。次のうち、デジタル画像のロスレス変換を説明するものはどれか?,情報を失う可能性があるが、画質の損失はわずかな方法で画像を圧縮する。,各ピクセルの赤、緑、青の量を平均して画像のグレースケールを作成し、この新しい値を新しい画像の対応するピクセルに割り当てる。各ピクセルの新しい値は、白から黒までのグレーの濃淡を表す。,各ピクセルに新しいRGBトリプレットを作成し、それぞれの値を255から元の値を引いて計算することで、画像のネガを作成する。画像のネガはオリジナルとは逆になり、明るい部分は暗く見え、色は逆になる。,画像のある部分のピクセルを取り出し、別の部分のピクセルにコピーすることによって、画像の一部を修正すること。,C
あるプログラマーが、大量のデータを処理できるよう意図されたプログラムを書いている。以下の検討事項のうち、プログラムがより大きなデータセットを処理する能力に最も影響を及ぼしにくいものはどれか?,プログラムの実行にかかる時間,プログラムに含まれるプログラミング文の数,プログラムの実行に必要なメモリ容量,プログラムの実行に必要なストレージ容量,B
仮に0、1、・・・、8、9、A、B、C、D、E、Fの文字が16進数（ベース16）を表すのに使われるとする。ここではA = 10、 B = 11、・・・、F = 15である。14や3Aのような2桁の16進数で表せる最大の10進数の整数は?,32,225,255,256,C
"大規模なデータセットには、全米の大学でコンピュータ・サイエンスを専攻している学生全員に関する情報が含まれている。このデータセットには、各学生に関する以下の情報が含まれる: 
   ° 学生の性別
   ° 学生が大学に通う州
   ° 学生の成績平均値（4.0点満点）

 データセットの情報のみを分析することで、次の質問のうちどれに答えられるか?",コンピューターサイエンスを専攻する学生は、他の科目を専攻する学生よりも成績平均値が高い傾向があるか?,その州の大学に通うコンピューターサイエンス専攻の男子学生よりも、コンピューターサイエンス専攻の女子学生の割合が高い州はいくつあるか?,ある州の大学に通う学生の何パーセントがコンピューターサイエンスを専攻しているか?,コンピュータ・サイエンスを専攻する学生が最も多い大学は?,B
"以下のコード・セグメントは IsFound (list, item) というプロシージャを使っている。このプロシージャは、itemがlistに出現する場合はtrueを返し、それ以外の場合はfalseを返す。リストresultListは最初は空である。
  FOR EACH item IN inputList1{
 IF (isFound (inputList2, item) )
 APPEND (resultList, item)
 }
 コード・セグメントが実行された後の resultList の内容として、最も適切なものは次のうちのどれか?",inputListl のすべての要素の後に inputList2 のすべての要素が続く,inputListl と inputList2 の両方に現れる要素のみ,inputListl か inputList2 のどちらかに現れ、両方のリストには現れない要素のみ,inputListl に現れ inputList2 に現れない要素のみ,B
あるプログラムがプログラミング言語で表現されている。そのプログラムについて正しいのは次のうちのどれか?,プログラムはバイナリコードでも表現できるが、より高水準のプログラミング言語で表現した方が、人間には理解しやすい。,プログラムはバイナリコードでも表現できるが、その方がエラーの可能性が低くなる。,バイナリコードはデータを表現するためにしか使えないので、プログラムをバイナリコードで表現することはできない。,プログラムの一部はバイナリコードで表現できるが、操作はより高水準のプログラミング言語を使って表現しなければならない。,A
"Python 3 において、tuple = ( 'abcd', 786 , 2.23, 'john', 70.2 ) の場合、print tuple[0] の出力は何か?","( 'abcd', 786 , 2.23, 'john', 70.2 )",abcd,エラー,上記のどれでもない,B
次の潜在的なメリットのうち、アップグレードされたシステムによってもたらされる可能性が最も低いものはどれか?,一部の問い合わせに対して、人間の担当者が対応する必要がなくなる。,どのような着信に対しても、会社は人間の担当者を提供できるようになる。,顧客が、自分の問題に関係のない情報を聞く時間が減る。,顧客は、自分の特定の問題に対して間違った部署を選択することができなくなる。,B
歴史的に、コンピュータの処理速度は2年ごとに2倍になる傾向があることが観察されている。次のうち、テクノロジー企業がこの観測を計画立案に利用する方法として最も適切なものはどれか?,テクノロジー企業は、新しいコンピューター技術革新が利用可能になる日付を正確に予測できる。,テクノロジー企業は、処理速度の進歩が起こるたびに、新製品のコストを2倍にする計画を立てることができる。,テクノロジー企業は、予想される処理速度に基づいて研究開発目標を設定できる。,処理速度は常に観測された速度で向上するため、テクノロジー企業は新しいプロセッサの開発に費やす労力を減らすことができる。,C
