ペレスさんは5日間で合計40マイルを運転した。毎日同じ距離を走った。ペレスさんは毎日何マイルを運転したか。,5,7,8,9,C
-40 ÷ (-8) の商を求めよ。, 1/5,-5, -1/5,5,D
あるサッカーチームがサッカーボールを買うのに90ドル持っている。サッカーボール1個の値段が15.60ドルだとすると、チームが購入できるサッカーボールの最大数はいくつか？,4,5,6,7,B
あなたは友人3人とコンサートに行く。チケット4枚の合計金額は112ドル。 方程式を書いて解き、チケット 1 枚のコスト t を求めよ。, 4t = 112; $448 , 4t = 112; $28 , 4枚以上のt = 112; $448 , 4枚以上のt = 112; $28,B
以下の式を使って質問に答えなさい。3 × [(2 × 6 - 5) + (8 ÷ 4)] - 1 式の値は何か。,9,11,26,32,C
1と11分の1を整数または混合数として最も簡単な形で書きなさい。,1.1/11, 11/11, 12/11, 11/12,C
2.16÷0.06 の商を求めよ。,3.6,36,0.01272,12.72,B
142.76 - 16.5 の差を求めよ。,159.26,2.224,"14,111",126.26,D
5.04/0.7 の商を求めよ ,0.72,0.702,10.0571,7.2,D
ジミーとキーマは旅に出る。彼らは3日間ドライブする。初日は182マイル。二日目は439マイル。日目は217マイル。ジミーとキーマが旅行で走る距離の推定値に最も近い式はどれか。,150 + 400 + 200,200 + 400 + 200,200 + 450 + 200,200 + 500 + 200,C
21を7で割った余りは？,21,7,1, どれでもない,D
マディは7日間で合計56マイルを自転車で走る。毎日同じ距離を走る。マディが毎日走る距離の合計は？,8,9,49,63,A
48以上88以下＝？以上11以下が成り立つ数を求めよ。,6,11,8,5,A
ベストバイはどれか？, 固形石鹸 10 個で 23.20 ドル, 固形石鹸 16 個で 36.48 ドル, 固形石鹸 13 個で 29.51 ドル,固形石鹸 12 個で 27.60 ドル,C
トリッシュの安静時の心拍数は毎分50拍。彼女が1分運動するごとに、心拍数は毎分5拍増加する。心拍数が毎分120回になるまでにかかる時間は？, 5分 , 14分 , 34分 , 70分,B
"23, 13, 18, 29, 32, 25のデータから中央値を求めよ。",18,24,25,29,B
ジャックはリンゴの木から60個のリンゴを取る。そのうちの12個を使ってアップルソースを作る。残りのリンゴを6つのギフトバスケットに均等に入れる。ジャックが各ギフトかごに入れるリンゴの個数aを求めるには、どの方程式を使えばよいか？, (60/6)-12=a , (60-12)/6=a , (60-6)-12=a , (60+12)/6=a,B
ある地図の縮尺は1インチ＝25マイル。この地図の5インチは何マイルを表しているか？,5,25,50,125,D
(2 + 5)^2 - 42 を単純化せよ。,7,16,30,33,A
4 ÷ 2 - 2 + 8 - 4 の値を求めよ。,-12,12,8,16,C
あるコーチが陸上競技大会の出走者数を10人単位で四捨五入した。四捨五入した走者数は400人。トラック大会の実際のランナー数はどれか？,382,397,406,447,B
-4 + ( -3 )= ,-7,-1,1,7,A
マークは切手のコレクションを持っている。彼は日本の切手を22枚、カナダの切手を34枚、メキシコの切手を17枚持っている。全部で何枚の切手を持っているか？,53,63,73,83,C
方程式 x + 2.7 = 8.4 の解を与えられた数から求めよ。,11.1,5.7,3.7,22.68,B
0.32g=_cgという文が成り立つ数を求めよ。,32,3.2,"3,200",320,A
5.7(8)の積を分配の性質を用いて求めよ。,46.4,456,4.56,45.6,D
"式2,314 / 4の商は？",508, 508 r2 ,578, 578 r2,D
ローザは今月、合計100マイルを走るという目標を持っている。毎日5マイルずつ走った。ローザがd日間走った後、残り何マイル走れるかを求めるには、どの式を使うことができるか。, 100 - 5d , 5d+ 100 , 100 / 5d , 5d,A
「トムが集めた缶の4倍の缶」という語句にあてはまる代数式を答えよ。, 4t , t/4, t - 4 , t + 4,A
"アンドリューはボードに186,425という数字を書いた。桁の6の値は、アンドリューが書いた数字の桁の6の値のちょうど10倍であるのはどの数字か。 ","681,452","462,017","246,412","125,655",B
123÷8は？, 15 余り 7, 15余り 3 , 16余り 5 , 16余り 1,B
8 と4分の2を最も簡単な形で不等分数として書きなさい。, 17/2, 34/4, 17/4, 19/2,A
"270,240を展開形で表すにはどのような式を用いるか？","200,000 + 7,000 + 200 + 4","200,000 + 7,000 + 200 + 40","200,000 + 70,000 + 200 + 40","200,000 + 70,000 + 2,000 + 40",C
組立ラインの作業員が22個の部品を作るのに7時間かかる。この場合、彼女は35時間で何個の部品を生産できるか？, 220個 , 770個 , 4個 , 110個,D
"安倍はこの数字のリストの平均値と中央値を求めた。1, 3, 3 もしこのリストに6が加わったら、", 平均は増加するだろう。, 平均は減少するだろう。, 中央値は増加する。, 中央値は減少する。,A
n = 11のとき、10 - (n + 6)の値は？,-7,5,7,27,A
以下のフレーズを表す表現はどれか。数pより3少ない , 3-p , p+3 , 3/p , p-3,D
ある映画館が、映画のチケット1枚につき6ドルを徴収した。その映画館は500枚のチケットを売った。下の式は、劇場がチケット代としていくら集めたかを求めるのに使える。6 × 500 劇場がチケット代として回収した金額を求めるのに使える式はどれか。,30 × 10^1,30 × 10^3,(6 × 5) × 10^2,(6 × 5) × 10^3,C
12-9+c=12とする。式が成り立つcの値は？,0,3,9,12,C
ソヨンの家族は休暇に出かけた。彼らは2000ドルを持って出発した。毎日150ドルずつ使ったとすると、x日後にいくら持っていたかを表す式はどれか。,1850x,2000 -150x,150x,2000 +150x,B
棚には4冊の本がある。棚にある4冊の本の重さ（ポンド）はそれぞれ2.5、3.2、2.7、2.3。 棚から選んだ本の重さwを表す不等式はどれか。, w > 2.3 , w < 2.4 , w > 3.2 , w < 3.3,D
絶対値が5より大きい数はどれか？,-6,-5,0,5,A
2(3(4^2 + 1)) - 2^3 の式の値は？,156,110,94,48,C
"グウェンは下の数字のパターンを紙に書いた。1, 5, 9, 13 グウェンのパターンの次の2項は？","15, 17","15, 19","17, 19","17, 21",D
梨3缶が2.37ドルの場合、9.48ドルで何缶の梨が買える？, 3缶 , 12缶 , 36缶 , 13缶,B
大きい順：3、3と1/8、3.8、3.18。," 3.18、3と1/8、3.8,3 ", 3、3と1/8、3.18、3 , 3.8、3と1/8、3.18、3 , 3.8、3.18、3と1/8、3,D
