長方形の長さは幅の2倍である。対角線の長さが $5sqrt{5}$ のとき、長方形の面積を求めよ。,2500,2,50,25,C
"正の整数nは、nのすべての素因数pについて、p^2もnの素因数である場合、""強力な ""と呼ばれる。強力な数の例は、次のうちどれか？",392,336,300,297,A
朝食、昼食、夕食のとき、ジョーは同じ確率でリンゴ、オレンジ、バナナのいずれかをランダムに選んで食べる。ある日、ジョーが少なくとも2種類の果物を食べる確率は？,\frac{7}{9},\frac{8}{9},\frac{5}{9},\frac{9}{11},B
"関数$f(x)$は、$a<b$であるすべての実数 $a$, $b$ に対して、$y=f(x)$ のグラフのうち、 $x=a$ と $x=b$ の間の部分が、 $(a,f(a))$ と $(b,f(b))$ を端点とする線分の下にあるという性質を持つとする。（このような性質をもつ関数を狭義凸関数という。）
 $f(x)$ が $(-2,5)$ と $(2,9)$ を通るとき、 $f(1)$ の取りうる値の範囲は何通りか。答えを区間表記で表せ。"," (-inf, 10) "," (-inf, 9) "," (-inf, 8) "," (-inf, 7)",C
ジョンは記念品の帽子のピンを2つの山に分けた。2つの山には同じ数のピンがあった。彼は弟に1つの山の3分の1の2分の1をあげた。ジョンは66本のピンを残した。ジョンはもともと何本のピンを持っていたか。,396,72,66,36,B
ある気象予報士によると、30％の確率で雨が降り、晴れはない。もし雨が降らない確率が40%なら、雨と晴れ両方の確率は何％か。 ,0.16,0.24,0.3,0.5,C
$n^2$ が $1200$ の因数になるような $n$ の正の整数の和はいくらか。,42,12,36,39,A
正六面体のサイコロを5回振る。そのうち 2 回でも 6 が出る確率は何％か。,\frac{125}{648},\frac{25}{648},\frac{625}{648},\frac{1}{648},C
連続する奇数の整数の和が240になる等差数列はいくつあるか？,8,12,10,4,B
正の整数 $x$ と $y$ の積は 56 であり、 $x < y$ である。小さい方の整数の逆数の 7 倍と大きい方の整数の逆数の 14 倍を足すと 4 になる。$x$ の値はいくらか。,13,14,1,2,D
$n > 1$ のとき、 $n$ の正の約数の積が $n^6$ となる最小の正の整数 $n$ はどれか。,30,64,2048,60,D
$2^{87} +3$を $7$ で割ったときの余りはいくらか。,0,1,2,4,D
ジェーンのクイズの得点は98点、97点、92点、85点、93点であった。彼女の平均点は何点か。,92,93,94.5,95,B
fのグラフがa <= x <= b上で増加し、かつ上に凹んでいるとする。同じ分割数を用い、L、R、M、Tがそれぞれ左、右、中点、台形の和を表すとするとき、関係を示せ。, R <= T <= M <= L , L <= T <= M <= R , R <= M <= T <= L ,L <= M <= T <= R,D
"アリが$(-4,6)$から原点までまっすぐ這い、さらに$(4,3)$までまっすぐ進む。その移動距離は？",16,2\sqrt{2},5,5+2\sqrt{13},D
3桁の素数で最小から2つの積を $n$ とする。$n$のそれぞれの桁の数の和を求めよ。,8,3,6,9,A
$(x^2+5x+6)^2+(px+q)(x^3+7x^2+3x)$を展開して得られる多項式の次数は$2$である。このとき、$p+q$ を求めよ。,-2,-4,-1,1,B
$f(x)=ax^6-bx^4+x-1$、$f(2)=5$のとき、$f(-2)$の値はいくらか。,1,3,0,5,A
関数$f(x) = \frac{1}{1-x}$ の範囲はいくらか。答えを区間記法で表せ。," (-infty,-1)\cup (1,\infty) "," (-infty,0)\cup (0,\infty) "," [-1,1] "," (-1,1)",B
$f(x)=4-5x$ の逆関数はいくらか。,\frac{5}{x-4},\frac{x-4}{5},\frac{x+4}{5},-\frac{x-4}{5},D
初項が2，続く項は前の項を-2倍する数列の第5項の値は？,−16,32,−32,64,B
区別できない2つの箱に区別できる4つのボールを入れる方法はいくつあるか？,7,11,16,8,D
120の因数であり、40の因数でもある正の整数はいくつあるか？,4,8,2,1,B
カルロス・モンタードは2002年11月9日（土）生まれ。カルロスは何曜日に706日となるか？（曜日を省略せずに書け） , 金曜日 , 木曜日 , 水曜日 , 火曜日,A
記号$5！$は$5cdot 4 cdot 3 cdot 2 cdot 1$を意味する。$5!$ の因数である最大の奇数整数は何か。,5,3,15,31,C
平行四辺形 $ABCD$ において、角$B$が $110^circ$ のとき、角$C$は何度か。,145,90,60,70,D
浄化プロセスが水槽から汚染物質を除去できる速度は、残存する汚染物質の量に比例する。最初の1分間で汚染物質の20％を除去でき、水を安全にするために98％を除去しなければならない場合、除染プロセスにはおよそ何分かかるか？, 2分 , 5分 , 18分 , 20分,C
関数 $f(x)=frac{x+6}{sqrt{x^2-3x-4}}$ の定義域は？," (-4,4) "," [0,4] "," (-inf, -1) U (4, inf) "," (-inf, -1) U (-1, 4) U (4, inf)",C
関数 y = (ln x)/x の極大値を求めよ。 ,1,e,2/e,1/e,D
$1 \cdot 2 \cdot 3 \cdot 4 \cdot 5 \cdot 6 \cdot 7 \cdot 8 \cdot 9$の1桁は何か。,1,2,0,5,C
原点から $x^2-24x +y^2+10y +160=0$ で定義される円までの最短距離はいくらか。,10,16,24,12,A
16、15、12の因数を持つ最小の正の整数は？,12,22,840,240,D
52枚のカードから異なる3枚のカードを選ぶ方法は何通りあるか？(カードの順番は関係ないとする） ,8788,2,2197,21,A
"円$C$は、方程式$x^2+12y+57=-y^2-10x$で表される。このとき、$(a,b)$を円Cの中心、$r$を半径とすると、$a+b+r$の値はいくらか。",-9,-5,-6,-57,A
"$y=f(x)$ のグラフに点$(1,5),$ $(2,3),$ and $(3,1)$が含まれているする。この情報のみに基づくと、$y=f(f(x))$のグラフ上にあるべき点が2つある。これらの点を$(a,b)$ と $(c,d)$ とすると、 $ab+cd$ はいくらか。",15,5,9,17,D
$\dbinom{85}{82}$を計算せよ。,252,4680,98770,101170,C
